gene_A,gene_B,pvalue,qvalue_BH,qvalue_BO,gene_B_around,gene_B_slice,gene_around,gene_slice,gene_A_N,gene_B_N,pair,enrichment_ratio,support_ratio
Rims1,Kcnq5,6.227998595650143e-15,3.001895323103369e-12,3.001895323103369e-12,12,97,522,132962,182,97,Kcnq5_Rims1,31.511316506695106,0.12371134020618557
Prkn,Pde10a,1.0344733408824193e-14,3.0310068887854886e-12,3.0310068887854886e-12,14,276,679,287160,265,276,Pde10a_Prkn,21.452263558942178,0.052830188679245285
Scd2,Cst3,2.1369356773761373e-14,3.595394277185351e-12,1.4381577108741405e-11,84,4288,5409,713613,2004,4288,Cst3_Scd2,2.5844627734869743,0.041916167664670656
Lancl1,Rpe,8.570278109022698e-15,3.8137737585151006e-12,3.8137737585151006e-12,16,316,1002,323676,349,316,Lancl1_Rpe,16.355946335177745,0.05063291139240506
Gja1,Clu,2.6300041091147903e-14,4.418406903312848e-12,8.836813806625695e-12,54,2513,1600,253036,561,2513,Clu_Gja1,3.398314763231198,0.0962566844919786
Ncam1,Drd2,7.007025924174742e-15,4.4424544359267865e-12,4.4424544359267865e-12,13,107,778,163449,274,107,Drd2_Ncam1,25.52479398409533,0.12149532710280374
Ramp1,Hdac4,9.342717325762751e-15,4.830184857419343e-12,4.830184857419343e-12,15,216,1087,288909,405,216,Hdac4_Ramp1,18.457336706531738,0.06944444444444445
Artn,Kdm4a,3.251398954377825e-14,5.527378222442302e-12,5.527378222442302e-12,10,95,231,99271,93,95,Artn_Kdm4a,45.23627249943039,0.10752688172043011
Psma1,Pde3b,1.4709214776699018e-14,7.94297597941747e-12,7.94297597941747e-12,14,173,866,220977,306,173,Pde3b_Psma1,20.649574817445167,0.08092485549132948
Atp1a2,Glul,7.855385268215953e-14,9.080825370057641e-12,4.540412685028821e-11,95,4365,4437,481131,1628,4365,Atp1a2_Glul,2.3600068774991927,0.05835380835380835
Ryr3,Chrm5,3.345664136793765e-14,1.1375258065098802e-11,1.1375258065098802e-11,11,124,393,154213,148,124,Chrm5_Ryr3,34.80963227448083,0.08870967741935484
Ckb,Aldoc,1.6082856486848013e-14,1.2898450902452107e-11,1.2898450902452105e-11,87,2433,8768,622882,3219,2433,Aldoc_Ckb,2.540284646781931,0.035758323057953144
Scd2,Glul,9.95519600040381e-14,1.339969381654353e-11,6.699846908271764e-11,89,5003,5740,785929,2124,5003,Glul_Scd2,2.4357399845806804,0.04190207156308851
Dab1,Plpp3,3.107952789243453e-14,1.7186978924516297e-11,1.7186978924516297e-11,24,748,1433,346938,583,748,Dab1_Plpp3,7.768109235700877,0.0411663807890223
Dscam,Bace2,4.3017620162643677e-14,1.8841717631237932e-11,1.884171763123793e-11,11,98,485,145657,171,98,Bace2_Dscam,33.709804334104774,0.11224489795918367
Sparcl1,Clu,4.985910643573873e-14,3.5001092717888585e-11,3.500109271788859e-11,80,3815,6284,783292,2147,3815,Clu_Sparcl1,2.6138638310865434,0.037261294829995344
Ryr2,Chrm3,5.453688532757067e-14,3.981192628912659e-11,3.981192628912659e-11,16,141,1605,199332,627,141,Chrm3_Ryr2,14.092980711871148,0.11347517730496454
Bsg,Cldn5,8.726466839420121e-14,4.150585138773281e-11,6.370320792776688e-11,32,550,2743,245011,1151,550,Bsg_Cldn5,5.196932356742783,0.05818181818181818
Bsg,Slc2a1,1.1371466133625429e-13,4.150585138773281e-11,8.301170277546562e-11,33,690,3681,385456,1466,690,Bsg_Slc2a1,5.00810980003071,0.04782608695652174
Slc1a3,Aldoc,4.677213890488962e-13,4.826884734984609e-11,2.413442367492305e-10,59,2077,3597,377543,1272,2077,Aldoc_Slc1a3,2.9815459012077286,0.046383647798742135
Dscam,Brwd1,3.367291733890011e-13,5.972948073313597e-11,1.4748737794438247e-10,16,396,1260,401885,487,396,Brwd1_Dscam,12.887125220458554,0.04040404040404041
Dscam,Pcp4,4.0910603241873955e-13,5.972948073313597e-11,1.7918844219940794e-10,34,2314,2011,640727,764,2314,Dscam_Pcp4,4.681408261476315,0.04450261780104712
Gcg,Tank,3.9526513860510866e-13,6.996192953310424e-11,6.996192953310424e-11,10,139,271,134511,99,139,Gcg_Tank,35.70867291406727,0.10101010101010101
Gpr37l1,Cst3,4.3339315796962275e-13,7.931094790844097e-11,1.5862189581688194e-10,56,3106,1742,298302,622,3106,Cst3_Gpr37l1,3.087412016148886,0.09003215434083602
Plppr1,Invs,4.846237761872566e-13,8.068985873517823e-11,1.6137971747035643e-10,11,145,486,175188,178,145,Invs_Plppr1,27.345934440187317,0.07586206896551724
Hdac4,Ndufa10,6.729081396876427e-13,8.377706339111152e-11,1.6755412678222303e-10,12,288,513,269305,196,288,Hdac4_Ndufa10,21.873375568551005,0.061224489795918366
Atrn,Adra1d,1.904630462234545e-13,1.0475467542289998e-10,1.0475467542289998e-10,18,415,1821,457153,639,415,Adra1d_Atrn,10.888700105198387,0.043373493975903614
Abca2,Grin1,3.7903359396573905e-13,1.4592793367680954e-10,1.4592793367680954e-10,27,1647,1487,544546,517,1647,Abca2_Grin1,6.003351450273959,0.05222437137330754
Kcnd2,Ptprz1,2.5626706042156477e-13,1.4735355974239975e-10,1.4735355974239975e-10,24,749,2450,538808,962,749,Kcnd2_Ptprz1,7.046888095692216,0.03204272363150868
Mapk8,Bmpr1a,3.997738621974361e-13,1.5871022329238213e-10,1.5871022329238213e-10,14,337,901,356088,352,337,Bmpr1a_Mapk8,16.41839433270649,0.04154302670623145
Slc39a11,Sstr2,6.209195071575424e-13,1.608181523538035e-10,1.608181523538035e-10,10,124,347,146647,122,124,Slc39a11_Sstr2,34.081760713953706,0.08196721311475409
Atp8a1,Gabrb1,4.516568096146038e-13,2.651225472437724e-10,2.651225472437724e-10,29,1112,3539,745645,1269,1112,Atp8a1_Gabrb1,5.4947097704712755,0.026079136690647483
