cell,cell_x,cell_y,gene_A,gene_B,r_check,gene_A_count,gene_B_count,colocalization_count
99_700,-55292.64423076923,1073.4711538461538,Gabra2,Gabrb1,0.5,2,2,0
99_701,-55352.94471153846,1072.858173076923,Gabra2,Gabrb1,0.5,4,0,0
99_702,-55299.93990384615,1072.3401442307693,Gabra2,Gabrb1,0.5,2,3,3
99_704,-55438.81009615384,1071.4795673076922,Gabra2,Gabrb1,0.5,1,2,0
99_705,-55425.26442307692,1070.8185096153843,Gabra2,Gabrb1,0.5,3,3,0
99_706,-55457.90865384615,1070.5240384615383,Gabra2,Gabrb1,0.5,4,5,1
99_707,-55306.875,1069.8269230769229,Gabra2,Gabrb1,0.5,1,3,0
99_708,-55325.03605769231,1069.0709134615383,Gabra2,Gabrb1,0.5,0,3,0
99_711,-55360.745192307695,1070.965144230769,Gabra2,Gabrb1,0.5,1,0,0
99_713,-55377.5,1069.0126201923076,Gabra2,Gabrb1,0.5,2,2,0
99_714,-55346.61057692307,1067.8197115384614,Gabra2,Gabrb1,0.5,5,3,0
99_715,-55394.93990384616,1069.1201923076922,Gabra2,Gabrb1,0.5,4,1,0
99_716,-55473.83413461538,1068.0721153846157,Gabra2,Gabrb1,0.5,4,1,0
99_717,-55448.53365384615,1066.3665865384614,Gabra2,Gabrb1,0.5,0,1,0
99_718,-55362.92067307692,1060.7608173076924,Gabra2,Gabrb1,0.5,3,4,1
99_720,-55315.79326923077,1062.889423076923,Gabra2,Gabrb1,0.5,1,3,0
99_721,-55386.51442307692,1060.6346153846152,Gabra2,Gabrb1,0.5,2,3,0
99_722,-55295.46274038461,1063.9050480769229,Gabra2,Gabrb1,0.5,3,1,0
99_723,-55465.15624999999,1062.747596153846,Gabra2,Gabrb1,0.5,5,3,0
99_724,-55416.93509615384,1063.0048076923078,Gabra2,Gabrb1,0.5,1,0,0
99_725,-55330.36057692307,1063.048076923077,Gabra2,Gabrb1,0.5,0,0,0
99_726,-55337.99278846153,1062.2944711538462,Gabra2,Gabrb1,0.5,4,1,0
99_727,-55354.32692307692,1063.3509615384614,Gabra2,Gabrb1,0.5,0,1,0
99_729,-55372.60817307692,1059.2403846153845,Gabra2,Gabrb1,0.5,2,1,1
99_730,-55400.07211538461,1058.4134615384614,Gabra2,Gabrb1,0.5,9,4,0
99_731,-55427.241586538454,1057.811298076923,Gabra2,Gabrb1,0.5,2,1,0
99_732,-55325.43269230769,1057.9759615384617,Gabra2,Gabrb1,0.5,4,0,0
99_733,-55349.987980769234,1049.6388221153845,Gabra2,Gabrb1,0.5,4,1,0
99_734,-55303.55769230769,1055.8677884615383,Gabra2,Gabrb1,0.5,1,3,0
99_735,-55313.03485576923,1053.5522836538462,Gabra2,Gabrb1,0.5,4,2,0
99_736,-55292.67427884615,1055.822716346154,Gabra2,Gabrb1,0.5,0,0,0
99_737,-55384.77163461538,1051.629206730769,Gabra2,Gabrb1,0.5,2,5,0
